Location,Access Type
West Humber-Clairville,COMMON
Islington-City Centre West,COMMON
York University Heights,CORRIDOR
Rouge,COMMON
Wexford/Maryvale,CONDO
Malvern,COMMON
Downsview-Roding-CFB,RESERVE
Milliken,CONDO
Yorkdale-Glen Park,COMMON
St.Andrew-Windfields,CONDO
Woburn,RESERVE
L'Amoreaux,COMMON
Dovercourt-Wallace Emerson-Juncti,COMMON
Clairlea-Birchmount,CONDO
Banbury-Don Mills,COMMON
Mimico,RESERVE
Yonge-Eglinton,COMMON
Centennial Scarborough,CONDO
Scarborough Village,RESERVE
Etobicoke West Mall,COMMON
